,0
81,"spaghetti,milk,french fries,green tea"
82,"energy bar,butter,french fries"
83,"grated cheese,herb & pepper,mineral water,eggs,cooking oil"
84,
85,energy drink
86,frozen smoothie
87,
88,salad
89,"french fries,low fat yogurt,green tea"
90,
91,"herb & pepper,shrimp,pasta,spaghetti,mineral water,meatballs,olive oil,energy bar,french wine,eggs,salt"
92,low fat yogurt
93,
94,"almonds,eggs,french fries,cookies,green tea"
95,"soup,escalope,body spray"
96,"ham,frozen vegetables,pepper,oil,extra dark chocolate,tea,magazines"
97,"eggs,cookies"
98,
99,"whole wheat pasta,ground beef,spaghetti,chocolate,green tea"
100,"barbecue sauce,chocolate"
101,"herb & pepper,energy bar,almonds,eggs,corn,mayonnaise,zucchini"
102,"burgers,ground beef,chocolate,soup,almonds,eggs,hot dogs,cottage cheese"
103,"spaghetti,chocolate,eggs"
104,"energy bar,pet food,carrots,protein bar"
105,"tomato sauce,spaghetti,mineral water,almonds,eggs"
106,"olive oil,gums,cooking oil"
107,"pasta,mineral water,soup,avocado,milk,olive oil,green grapes,eggs,bug spray"
108,"pasta,soup,cake,cooking oil,chicken,light mayo,low fat yogurt"
109,"mineral water,chocolate,french fries,champagne,escalope,mushroom cream sauce,fresh bread"
110,"pasta,mineral water,eggs"
111,"oil,tomato juice,fresh bread"
112,"eggs,chocolate,low fat yogurt"
113,"eggs,french fries,pancakes"
114,"herb & pepper,salmon,white wine,candy bars"
115,"spaghetti,olive oil,eggs,french fries,green tea"
116,energy bar
117,french fries
118,"tomatoes,mineral water,soup,milk,almonds,eggs,chocolate,tomato juice"
119,
120,
121,"spaghetti,frozen smoothie"
122,"spaghetti,milk"
123,
124,milk
125,"shrimp,pasta,frozen vegetables,spaghetti,mineral water,milk,eggs,chocolate,french fries,pancakes,low fat yogurt"
126,"mineral water,antioxydant juice,protein bar"
127,"whole wheat pasta,ground beef,spaghetti,cake,energy drink"
128,
129,
130,
131,green tea
132,
133,"burgers,chocolate,olive oil,eggs,cooking oil,corn"
134,"tomatoes,pepper,spaghetti,mineral water,pancakes,chicken,chili,tea,french fries,tomato juice,fresh bread"
135,
136,
137,"eggs,chocolate,frozen smoothie,tomato juice"
138,"cooking oil,mashed potato"
139,"ground beef,tomato sauce,mineral water,meatballs,olive oil,light cream,tomato juice"
140,"spaghetti,mineral water,soup,milk,eggs,cake,gums,cooking oil,chocolate,frozen smoothie"
141,"tomatoes,spaghetti,mineral water,avocado,milk,olive oil,eggs,rice,french fries,brownies"
142,"shrimp,pasta,frozen vegetables,ground beef,mineral water,nonfat milk,eggs"
143,"shrimp,pasta,pepper,spaghetti,mineral water,eggs,chicken,french fries"
144,
145,"tomatoes,cake"
146,"mineral water,soup,milk,pancakes,whole wheat rice,barbecue sauce,carrots,chocolate,champagne"
147,
148,milk
149,"pasta,frozen vegetables,water spray"
150,"mineral water,milk,eggs,whole wheat rice,mint"
151,"vegetables mix,cake,frozen smoothie,brownies"
152,
153,"pasta,chicken,chocolate bread"
154,
155,"pasta,spaghetti,eggs,hot dogs,green tea"
156,
157,"ground beef,spaghetti,mineral water,milk,olive oil,strong cheese,light cream,cooking oil"
158,"grated cheese,spaghetti,avocado,milk,oil,french fries"
159,"whole wheat pasta,ground beef,mineral water,olive oil"
160,"pasta,yams,milk,chocolate"
161,green tea
162,
163,
164,"shrimp,pasta,spaghetti,milk"
165,eggs
166,"herb & pepper,ground beef,soup,avocado,milk,black tea,eggs,barbecue sauce,carrots,cookies,tomato juice,fresh bread"
167,
168,
169,"french fries,strawberries,pancakes,low fat yogurt"
170,"yams,chicken,honey,light mayo"
171,champagne
172,"honey,cake,rice,protein bar"
173,"chocolate,frozen vegetables,ground beef,mineral water,milk,light mayo,asparagus"
174,"mineral water,corn,cottage cheese,green tea"
175,
176,"french wine,escalope"
177,"milk,whole wheat rice,mint green tea"
178,body spray
179,"french fries,hot dogs"
180,
181,"shrimp,pasta,milk,green tea,french fries,cookies,white wine"
182,ground beef
183,"whole wheat rice,candy bars"
184,"eggplant,cookies"
185,mineral water
186,
187,"spaghetti,milk,whole wheat rice,chocolate"
188,"ground beef,spaghetti,soup,meatballs,chicken,blueberries,cooking oil,champagne,yogurt cake,protein bar"
189,tomato juice
190,"milk,eggs,french fries,green tea"
191,"spaghetti,olive oil,french wine,eggs,french fries,champagne,pancakes,light mayo"
192,"honey,hot dogs"
193,"bacon,eggs,french fries,fresh bread"
194,yogurt cake
195,
196,
197,
198,"ham,red wine"
199,"pasta,tomatoes,energy bar,french wine,antioxydant juice,french fries,frozen smoothie,brownies"
200,
201,
202,"spaghetti,mineral water,soup,spinach,soda,energy drink,salt"
203,eggs
204,hot dogs
205,
206,"energy bar,chicken,eggs,cake,french fries,body spray,strawberries"
207,"chocolate,yogurt cake"
208,"mineral water,meatballs"
209,"mineral water,chocolate,fromage blanc,bacon,hot dogs"
210,"mineral water,vegetables mix,escalope"
211,"red wine,tomatoes"
212,"olive oil,cereals,brownies,green tea"
213,
214,"cookies,mushroom cream sauce"
215,"pancakes,cooking oil,gluten free bar,light mayo"
216,french fries
217,
218,
219,escalope
220,tomato juice
221,
222,"mineral water,soup,black tea"
223,frozen smoothie
224,"burgers,grated cheese,tomatoes,chocolate,fromage blanc,honey,whole wheat rice"
225,"ground beef,mineral water,olive oil,pancakes"
226,"burgers,ground beef,milk,olive oil,cake,fresh bread"
227,"ground beef,spaghetti,yams,mineral water,soup,chutney,cereals,energy drink,protein bar"
228,"whole wheat rice,cake,green tea,escalope"
229,"yams,soup,avocado,salmon,green tea"
230,
231,chocolate
232,honey
233,green tea
234,"meatballs,vegetables mix,chocolate"
235,low fat yogurt
236,"shrimp,pasta,mineral water,olive oil,eggs,cake,brownies,tomato juice"
237,"green grapes,hot dogs,fresh bread"
238,"meatballs,eggs,chocolate"
239,
240,milk
241,
242,
243,pasta
244,"chocolate,olive oil,french wine,salmon,rice,light mayo,fresh bread,magazines"
245,"french wine,vegetables mix,rice,clothes accessories,hot dogs,green tea"
246,"dessert wine,spaghetti,chicken,cake,protein bar,green tea"
247,"cake,fresh bread"
248,"frozen vegetables,flax seed,eggs"
249,
250,"mineral water,energy bar,green grapes"
251,"eggs,cake,chocolate,french fries,green tea"
252,
253,
254,"mineral water,green tea"
255,pancakes
256,"eggs,salt,tomato juice"
257,
258,"spaghetti,mineral water,olive oil"
259,"tomato juice,fresh bread"
260,mushroom cream sauce
261,"mineral water,eggs,pet food"
262,spaghetti
263,
264,
265,milk
266,
267,
268,"mineral water,eggs,cooking oil,chocolate,escalope"
269,"frozen vegetables,pepper,spaghetti,green tea"
270,"fresh tuna,red wine,mineral water,french fries,hand protein bar,low fat yogurt"
271,"eggs,energy drink,fresh bread"
272,"salmon,green tea,french fries,frozen smoothie,hot dogs"
273,"shrimp,pasta,tomatoes,milk,frozen smoothie,sandwich"
274,"whole wheat pasta,olive oil,pancakes,eggs"
275,antioxydant juice
276,"milk,almonds,eggs,strawberries,white wine"
277,strawberries
278,
279,
280,
281,
282,"antioxydant juice,body spray,green tea"
283,"oil,frozen smoothie"
284,champagne
285,french fries
286,"spaghetti,eggs"
287,
288,cookies
289,
290,"butter,chicken,salmon"
291,"cookies,babies food"
292,"spaghetti,cake,chocolate,french fries,fresh bread"
293,"oil,cereals,french fries"
294,"spaghetti,mineral water,spinach,eggs,oil,cooking oil,green tea,shampoo,tomato juice,low fat yogurt"
295,"frozen vegetables,ground beef,pepper,spaghetti,mint green tea,french fries"
296,
297,tomato juice
298,"whole wheat rice,chocolate"
299,"herb & pepper,red wine,spaghetti,mineral water,salmon,eggs,cooking oil,green tea"
300,"cookies,shallot,tomato juice,fresh bread,low fat yogurt"
301,"fresh tuna,spaghetti,muffins,honey"
302,"ground beef,spaghetti,eggs,chicken"
303,"muffins,tomato juice,mayonnaise"
304,"yams,mineral water,muffins,frozen smoothie,hot dogs,energy drink"
305,"spaghetti,soup,milk,olive oil,salmon,eggs,blueberries"
306,"champagne,magazines"
307,"spaghetti,yams,mineral water,french wine,green grapes,rice,chocolate"
308,chocolate
309,eggs
310,
311,
312,
313,pasta
314,ground beef
315,"honey,brownies"
316,"eggs,cake,energy drink"
317,"burgers,dessert wine,ground beef,soup,salmon,eggs,gums,tomato juice,candy bars"
318,"mineral water,chicken"
319,"ground beef,carrots,french fries,melons"
320,"eggs,low fat yogurt"
321,"cooking oil,shampoo"
322,hot dogs
323,green tea
324,"pepper,mineral water,chocolate,eggs,cake,mashed potato,tomato juice"
325,
326,"olive oil,strong cheese,pancakes"
327,"mineral water,soup,rice,cookies"
328,"shrimp,spaghetti"
329,
330,"chicken,french fries,frozen smoothie"
331,
332,chocolate
333,"tomatoes,mineral water,soup,avocado,meatballs,olive oil"
334,french fries
335,"turkey,herb & pepper,ground beef,pancakes,eggs,light cream,rice,champagne,fresh bread"
336,
337,"escalope,fresh bread"
338,"spaghetti,french wine,vegetables mix,chocolate,french fries"
339,light mayo
340,"yams,butter,chocolate"
341,"eggs,french fries"
342,"barbecue sauce,eggplant"
343,
344,"french fries,hot dogs,green tea"
345,"chicken,green tea"
346,"cake,mushroom cream sauce"
347,
348,escalope
349,"spaghetti,french fries"
350,"spaghetti,salmon,tomato juice"
351,green tea
352,protein bar
353,"avocado,chocolate"
354,"champagne,green tea"
355,"french fries,escalope"
356,"tomatoes,eggs,green tea,frozen smoothie,light mayo"
357,"chicken,cider,green grapes,honey,chocolate,french fries,champagne,frozen smoothie,escalope"
358,champagne
359,soup
360,"spaghetti,milk,chocolate,babies food"
361,whole wheat rice
362,"chicken,tomato juice"
363,
364,"protein bar,tomato juice,candy bars"
365,
366,
367,
368,"herb & pepper,whole wheat pasta,yams,mineral water,bacon,nonfat milk,spinach"
369,milk
370,"chocolate,white wine"
371,
372,light mayo
373,"whole wheat pasta,spaghetti,meatballs,chicken,frozen smoothie,tomato juice"
374,"ground beef,spaghetti,mineral water,eggs"
375,melons
376,cooking oil
377,
378,"milk,spinach,cooking oil,chocolate,frozen smoothie,hot dogs"
379,milk
380,"cider,eggs,french fries"
381,
382,
383,
384,"mineral water,energy bar,honey,rice,green tea"
385,salad
386,"chocolate,french fries,brownies"
387,"strawberries,gluten free bar"
388,"ground beef,mineral water,salmon,honey,extra dark chocolate,green tea,mushroom cream sauce,gluten free bar"
389,"tomatoes,mineral water,meatballs"
390,"chocolate,water spray"
391,
392,eggs
393,"frozen vegetables,tomatoes,soup,butter,french wine,pancakes,eggs,tomato juice,fresh bread,green tea"
394,
395,"frozen smoothie,low fat yogurt"
396,"mineral water,milk,whole wheat rice,cereals,chocolate,french fries"
397,
398,"mineral water,soup,cake,chocolate"
399,
400,spaghetti
401,frozen smoothie
402,
403,pancakes
404,
405,"french fries,low fat yogurt"
406,
407,
408,"soup,vegetables mix,spinach,french fries,escalope,cauliflower,toothpaste"
409,
410,"olive oil,eggs,soda,corn"
411,"frozen smoothie,low fat yogurt"
412,"mineral water,milk,pancakes,chocolate,french fries"
413,
414,"frozen vegetables,tomato sauce,mineral water,soup,milk,olive oil,almonds"
415,eggs
416,
417,cottage cheese
418,"mineral water,chocolate,light mayo"
419,"escalope,shallot,strawberries,fresh bread,low fat yogurt"
420,
421,"ground beef,spaghetti,pancakes,blueberries,oil,cooking oil,tomato juice"
422,"spaghetti,mineral water,milk,frozen smoothie,champagne"
423,
424,escalope
425,
426,
427,
428,"butter,hot dogs"
429,"mineral water,soup,mashed potato"
430,
431,"ground beef,salmon,pancakes,champagne"
432,"yams,chocolate,olive oil,eggs"
433,"salmon,eggs,cookies,hot dogs"
434,mint
435,"mineral water,eggs,cooking oil,extra dark chocolate,escalope"
436,mushroom cream sauce
437,"frozen vegetables,mineral water,soup,milk,french wine"
438,cake
439,"salt,white wine"
440,
441,"cake,energy drink"
442,whole wheat rice
443,french fries
444,"escalope,mushroom cream sauce"
445,"fromage blanc,whole wheat rice,cake,french fries"
446,"burgers,frozen vegetables,ground beef,mineral water,milk,eggs,cake,light mayo"
447,cottage cheese
448,"eggs,champagne"
449,
450,
451,
452,"mineral water,eggplant"
453,"tomatoes,spaghetti,mineral water,soup,honey,chicken,chocolate,french fries"
454,
455,"red wine,shrimp,mineral water,barbecue sauce,protein bar"
456,"ham,spaghetti,mineral water,milk,eggs,french fries,escalope,pancakes,low fat yogurt"
457,
458,"soup,milk,eggs,whole wheat rice,chocolate,escalope,melons"
459,
460,"shrimp,soup,eggs,oil,cooking oil,energy drink,protein bar,low fat yogurt"
461,"grated cheese,herb & pepper,shrimp,ground beef,spaghetti,mineral water,carrots"
462,"red wine,ground beef,yams,mineral water,chocolate,low fat yogurt"
463,"french fries,mushroom cream sauce,cottage cheese,low fat yogurt"
464,
465,cookies
466,"mineral water,cake,chocolate bread"
467,"almonds,cake,champagne,low fat yogurt"
468,"shrimp,frozen vegetables,milk,butter,salmon,eggs,chocolate"
469,"shrimp,whole wheat pasta,whole wheat rice,chicken,green tea,cauliflower"
470,corn
471,"frozen vegetables,tomato sauce,mineral water,chocolate,soup,olive oil,salmon,green beans,champagne"
472,"herb & pepper,tomato sauce,mineral water,green grapes,eggs,gums,light cream,oil,green tea,mint"
473,"cake,chocolate"
474,"shrimp,spaghetti,eggs"
475,"mineral water,honey,cooking oil"
476,"mineral water,oil,ketchup,chili,pet food,eggplant,green tea,escalope,tomato juice,low fat yogurt"
477,"shrimp,mineral water,pancakes,eggs,cake,blueberries,tea,frozen smoothie"
478,"mineral water,protein bar"
479,"frozen vegetables,parmesan cheese,spaghetti,salmon,carrots,frozen smoothie,pasta,mashed potato,shallot,light mayo,magazines"
480,chocolate
481,"ground beef,spaghetti,olive oil,whole wheat rice,eggplant,cottage cheese"
482,"ground beef,low fat yogurt"
483,"spaghetti,mineral water,whole wheat rice,cake,hot dogs,green tea"
484,
485,
486,cookies
487,"eggs,ham,chocolate,french fries,champagne,brownies,pancakes,light mayo"
488,"spaghetti,milk,eggs,chocolate"
489,"burgers,pancakes,french fries,strawberries,green tea"
490,
491,"pancakes,eggs,cake"
492,
493,"ground beef,pepper,spaghetti,honey,cookies"
494,"red wine,tomato sauce,olive oil,chili,french fries,cookies,salt,fresh bread,magazines"
495,french fries
496,
497,
498,spaghetti
499,spaghetti
500,"chocolate,cookies"
501,
502,"cake,low fat yogurt"
503,"spaghetti,mineral water,soup,milk,bramble,frozen smoothie,cottage cheese"
504,"eggs,protein bar"
505,"shrimp,meatballs,butter,eggs,salad,green tea"
506,"spaghetti,chocolate,olive oil,chicken,french fries"
507,"shrimp,escalope,hot dogs"
508,"pepper,soup,milk,pancakes,green tea"
509,
510,"pancakes,eggs,french fries"
511,"escalope,low fat yogurt"
512,"french wine,gluten free bar"
513,"ground beef,spaghetti,eggs,french fries"
514,"meatballs,milk,energy bar"
515,
516,
517,"red wine,mineral water,eggs,bramble"
518,"ham,frozen vegetables,tomatoes,cake,chicken,green tea,toothpaste,mint"
519,"mineral water,olive oil,energy bar"
520,"cake,green tea"
521,"almonds,cooking oil,cereals,protein bar,white wine,green tea"
522,"fresh tuna,mineral water,milk,eggs,cake,burger sauce,chicken,french fries,frozen smoothie,fresh bread"
523,"mineral water,whole wheat rice,yogurt cake,low fat yogurt"
524,"spaghetti,meatballs,chicken,eggs"
525,"mineral water,eggs,green tea,pancakes"
526,green tea
527,"herb & pepper,yogurt cake"
528,"spaghetti,mineral water,almonds,salmon,nonfat milk,green grapes,pancakes"
529,"vegetables mix,eggs"
530,
531,eggplant
532,
533,"bug spray,oatmeal,sandwich,asparagus"
534,"soup,almonds,eggs,french fries"
535,
536,"butter,shampoo"
537,"whole wheat pasta,pepper,eggs"
538,"whole wheat rice,rice,cooking oil,chocolate,fresh bread,low fat yogurt"
539,"butter,chocolate,french fries,cookies"
540,"soup,milk,chutney,cooking oil,asparagus,tomato juice"
541,"french fries,frozen smoothie,cookies,champagne,cottage cheese,green tea"
542,"tomatoes,mineral water,eggs,blueberries"
543,"tomato juice,low fat yogurt,green tea"
544,"soup,almonds,cereals,green tea"
545,light mayo
546,"herb & pepper,chocolate"
547,"french fries,green tea"
548,"cake,chocolate,tomato juice"
549,
550,"pepper,spaghetti,mineral water,whole wheat rice,champagne,mushroom cream sauce"
551,"pepper,mineral water,chocolate,white wine"
552,"turkey,spaghetti,milk,whole wheat rice,oil,tomato juice,green tea"
553,"spaghetti,mineral water,soup,french wine,french fries,light mayo,low fat yogurt"
554,"green grapes,frozen smoothie,low fat yogurt"
555,low fat yogurt
556,
557,energy drink
558,energy drink
559,cookies
560,
561,eggs
562,
563,green tea
564,
565,"soup,milk,almonds,eggs,oil,chocolate"
566,french fries
567,
568,"eggs,cake,green tea,toothpaste"
569,"tomatoes,ground beef,eggs,cooking oil"
570,"eggs,chocolate,low fat yogurt"
571,"cider,eggs,french fries"
572,"cookies,toothpaste"
573,"milk,escalope,champagne,hot dogs,fresh bread"
574,"herb & pepper,spaghetti,mineral water,chocolate,pancakes,eggs"
575,"mineral water,escalope,shallot,protein bar,white wine"
576,"parmesan cheese,spaghetti,meatballs,butter"
577,"eggs,escalope"
578,
579,"escalope,shallot"
580,"pepper,tomato sauce,tomato juice"
581,
582,"ground beef,spaghetti,mineral water,escalope,melons"
583,"mineral water,soup,milk,olive oil"
584,"eggs,french fries,asparagus,low fat yogurt,zucchini"
585,"frozen vegetables,gums"
586,"frozen vegetables,ground beef,milk"
587,"cake,light cream,mashed potato"
588,
589,"eggs,barbecue sauce"
590,
591,french fries
592,eggs
593,"escalope,mint"
594,"chicken,zucchini"
595,"eggs,french fries,cookies,green tea"
596,
597,"energy bar,chocolate"
598,
599,
600,"spaghetti,mineral water,olive oil"
601,"frozen vegetables,eggs,gums,escalope,low fat yogurt"
602,"herb & pepper,mineral water,pancakes,chocolate,escalope,tomato juice"
603,"spaghetti,yams,flax seed,salmon,frozen smoothie"
604,oil
605,"french fries,energy drink"
606,
607,"ground beef,mineral water,olive oil"
608,low fat yogurt
609,"spaghetti,soda,pet food,white wine"
610,"shrimp,olive oil,chicken,eggs,extra dark chocolate,melons,fresh bread"
611,"ground beef,yams,milk,strong cheese,salmon,muffins,french fries,escalope"
612,"spaghetti,light cream"
613,"mineral water,eggs"
614,"chicken,tea,pancakes,gluten free bar"
615,"turkey,herb & pepper,spaghetti,mineral water,mint"
616,"mineral water,cooking oil,escalope"
617,
618,"herb & pepper,spaghetti"
619,"shallot,strawberries"
620,"chocolate,shrimp,whole wheat pasta,pepper,mineral water,soup,milk,salmon"
621,"mineral water,avocado,milk,butter,cooking oil,chocolate,cottage cheese"
622,"eggs,french fries,energy drink"
623,avocado
624,
625,"butter,eggs,green tea,cottage cheese,mayonnaise"
626,"mushroom cream sauce,low fat yogurt"
627,chocolate
628,"spaghetti,french fries,green tea"
629,
630,"red wine,mineral water,pancakes,eggs,whole wheat rice,cooking oil,chocolate,zucchini"
631,"parmesan cheese,mineral water,olive oil,bacon"
632,gums
633,"frozen vegetables,parmesan cheese,milk,eggs,cooking oil,chocolate,french fries"
634,"mineral water,milk,eggs"
635,
636,cookies
637,"mineral water,chocolate,green tea"
638,"spaghetti,olive oil,butter,chocolate,french fries,tomato juice,low fat yogurt"
639,
640,"mineral water,eggs,gums,cooking oil,frozen smoothie,cottage cheese,low fat yogurt"
641,"grated cheese,energy bar,vegetables mix,brownies"
642,"burgers,nonfat milk,cooking oil,energy drink"
643,low fat yogurt
644,
645,"mineral water,salmon,whole wheat rice,cake,green tea"
646,"cake,chocolate,low fat yogurt,candy bars"
647,"mineral water,chocolate,soup,milk,olive oil,light cream,chicken"
648,strawberries
649,
650,"parmesan cheese,butter,whole wheat rice,cooking oil"
651,mint
652,
653,"avocado,milk,chicken,rice"
654,"soup,eggs,low fat yogurt"
655,"ground beef,spaghetti,mineral water,chocolate,black tea,french wine,pancakes,rice,green tea,toothpaste"
656,"parmesan cheese,mineral water,eggs,cake,oil,cooking oil,toothpaste,low fat yogurt"
657,"herb & pepper,frozen vegetables,tomatoes,spaghetti,olive oil,black tea,vegetables mix,cooking oil,green tea,frozen smoothie,mint"
658,"cider,eggs"
659,"tomato sauce,mineral water,chocolate,escalope,mint"
660,
661,"spaghetti,mineral water,energy bar,eggs,cooking oil,pancakes,fresh bread,low fat yogurt"
662,"frozen vegetables,tomatoes"
663,"herb & pepper,frozen vegetables,ground beef,yams,mineral water,salmon"
664,mineral water
665,"ground beef,spaghetti,soup,escalope,yogurt cake"
666,"pepper,mineral water,soup,milk,eggs,rice,barbecue sauce,clothes accessories,cookies"
667,pancakes
668,
669,milk
670,
671,
672,"mineral water,olive oil,pancakes"
673,"mineral water,eggs,cake"
674,french fries
675,"spaghetti,yams,mineral water,chocolate,olive oil,light cream,chicken,green tea,french fries,sandwich,white wine"
676,"milk,salmon,green tea,cookies,fresh bread"
677,olive oil
678,spaghetti
679,"mineral water,soup,salmon,pancakes,chicken,mint green tea,low fat yogurt"
680,"whole wheat pasta,ground beef,mineral water,chocolate,milk,olive oil,almonds,french wine,yogurt cake,fresh bread"
681,
682,"grated cheese,spaghetti,nonfat milk,eggs,gums,chocolate,tomato juice,low fat yogurt"
683,"ground beef,olive oil,energy bar,chicken,brownies,white wine"
684,"mineral water,olive oil,cooking oil,frozen smoothie,green tea"
685,champagne
686,
687,"ground beef,escalope,pancakes,green tea"
688,"frozen vegetables,ground beef,tomato sauce,spaghetti,mineral water,milk,french wine,eggs,whole wheat rice,chocolate,escalope,hot dogs,green tea"
689,carrots
690,
691,"burgers,herb & pepper,ground beef,yams,mineral water,avocado,milk,almonds,muffins,eggs,french fries"
692,"salmon,antioxydant juice,mint green tea"
693,"french fries,strawberries,fresh bread"
694,"chocolate,shrimp,whole wheat pasta,ground beef,soup,energy bar, asparagus"
695,"butter,pancakes,french fries,frozen smoothie,white wine,low fat yogurt"
696,eggs
697,"shrimp,frozen vegetables,eggs"
698,"eggs,yogurt cake"
699,"fresh tuna,shrimp,frozen vegetables,whole wheat pasta,yams,mineral water,olive oil,almonds,cake,chicken,extra dark chocolate"
700,"ground beef,mineral water,chicken"
701,
702,tomato juice
703,olive oil
704,"energy bar,green tea"
705,herb & pepper
706,green tea
707,"meatballs,milk,almonds,green tea"
708,"pet food,cookies"
709,"whole wheat pasta,olive oil,energy bar,light cream,oil,french fries,pancakes,low fat yogurt"
710,
711,"mineral water,fromage blanc,eggs,honey,frozen smoothie"
712,zucchini
713,"pepper,milk,eggs,green tea,chocolate,white wine"
714,"red wine,butter,french fries,cookies,low fat yogurt"
715,"spaghetti,bug spray"
716,
717,"mineral water,vegetables mix,eggs,whole wheat rice,fresh bread"
718,"grated cheese,mineral water,salmon,whole wheat rice,burger sauce,escalope,mushroom cream sauce,low fat yogurt"
719,champagne
720,mineral water
721,"body spray,low fat yogurt"
722,"red wine,whole wheat pasta,cake,tomato juice"
723,"parmesan cheese,eggs,french fries,hot dogs"
724,"eggs,pancakes"
725,french fries
726,"frozen vegetables,tomatoes,spaghetti"
727,"almonds,pancakes,chocolate,french fries,green tea"
728,"french fries,escalope"
729,"spaghetti,mineral water,milk,black tea,french wine,cider,chutney,salmon"
730,"cake,low fat yogurt"
731,
732,
733,"soup,chicken,light cream,green tea,chocolate,champagne,low fat yogurt"
734,olive oil
735,"cookies,green tea"
736,"blueberries,cooking oil,chocolate,cookies,champagne,salt"
737,"french fries,frozen smoothie,escalope,fresh bread"
738,mint
739,"ground beef,salmon,muffins,chocolate,magazines"
740,"herb & pepper,parmesan cheese,milk,olive oil,pancakes,honey,cake,chocolate"
741,"shrimp,butter,whole wheat rice,french fries,escalope,cookies,cottage cheese"
742,"eggs,french fries,champagne,body spray"
743,"eggs,french fries"
744,"shrimp,mineral water,milk,eggs,chocolate,french fries,fresh bread"
745,"mineral water,chocolate,milk,chicken,nonfat milk,green tea"
746,chicken
747,"ground beef,spaghetti,milk,eggs,cake"
748,green tea
749,escalope
750,sparkling water
751,"mineral water,olive oil,carrots,protein bar,low fat yogurt"
752,
753,"grated cheese,honey,green beans,french fries"
754,"red wine,mineral water,chocolate,soup,light cream,rice,oil,chicken,barbecue sauce"
755,eggs
756,
757,low fat yogurt
758,low fat yogurt
759,"parmesan cheese,whole wheat pasta,mineral water,milk,eggs,low fat yogurt,mint"
760,mint
761,salt
762,"fresh bread,green tea"
763,"tomato sauce,escalope"
764,"cake,protein bar,toothpaste"
765,
766,
767,"mineral water,honey,strawberries"
768,"eggs,green tea"
769,"frozen vegetables,parmesan cheese,french wine,french fries,fresh bread,green tea"
770,"parmesan cheese,whole wheat pasta,spaghetti,mineral water,chocolate,avocado,milk,olive oil,muffins,cake"
771,"grated cheese,shrimp,spaghetti,olive oil,honey,strawberries,mint"
772,strawberries
773,"chocolate,mushroom cream sauce"
774,"olive oil,extra dark chocolate"
775,green tea
776,
777,low fat yogurt
778,"olive oil,pancakes,light cream,champagne,low fat yogurt"
779,"vegetables mix,low fat yogurt"
780,"mineral water,avocado,pancakes,eggs,honey,green tea,chocolate"
781,"burgers,almonds,honey,frozen smoothie"
782,"clothes accessories,cottage cheese"
783,"ground beef,spaghetti,pancakes,honey,whole wheat rice,green beans,french fries,frozen smoothie,mashed potato"
784,"mineral water,milk"
785,
786,
787,"oil,cereals"
788,"shrimp,mineral water,milk,almonds,strong cheese,cake,frozen smoothie"
789,"rice,eggplant,hand protein bar,zucchini"
790,"meatballs,nonfat milk,hot dogs"
